ID,protocol,browser_type,login_attempts,duration,packet_size,encryption_used,ip_reputation_score,failed_logins,unusual_time_access,attack
0,TCP,Edge,4.0,492.9832634426563,599,DES,0.606818080396889,1,0,Y
1,TCP,Firefox,3.0,1557.9964611204384,472,DES,0.3015689675960893,0,0,N
2,TCP,Chrome,3.0,75.04426166420741,629,DES,0.7391643279163831,2,0,Y
3,UDP,Unknown,4.0,601.2488351708328,804,DES,0.1232671757524846,0,0,Y
4,TCP,Firefox,5.0,532.5408884201419,453,AES,0.0548738567431703,1,0,N
5,UDP,Chrome,5.0,380.4715502453134,453,AES,0.4224858607066699,2,1,N
6,ICMP,Chrome,4.0,728.1071646972356,815,AES,0.4137719285892984,1,0,Y
7,TCP,Chrome,3.0,12.5999060098958,653,DES,0.0977193658576949,3,1,Y
8,TCP,Chrome,2.0,542.5588952208974,406,,0.2945796876500889,0,1,N
9,UDP,Chrome,6.0,531.9441066211396,608,,0.4241165641663546,1,0,N
10,UDP,Firefox,6.0,580.7219253670751,407,DES,0.1228937389064628,3,0,Y
11,UDP,Edge,9.0,191.0528369326706,406,DES,0.3397112713433893,1,0,Y
12,TCP,Safari,2.0,186.1476383415076,548,,0.4068986326067099,2,1,N
13,TCP,Unknown,4.0,833.4889649491395,117,DES,0.4732919047923998,2,0,Y
14,TCP,Chrome,3.0,77.84995157439054,155,,0.3524755745227921,3,0,Y
15,ICMP,Chrome,6.0,292.1361960073892,387,DES,0.2549124511362793,3,0,Y
16,TCP,Firefox,8.0,1421.414371761036,297,AES,0.345367552273892,3,0,Y
17,UDP,Firefox,1.0,87.64100168835026,562,,0.1367291897579692,2,0,N
18,TCP,Unknown,5.0,504.98866997657433,318,AES,0.3942314568896387,1,0,Y
19,ICMP,Chrome,2.0,883.6175678484254,217,DES,0.3101131570512104,0,0,N
20,TCP,Firefox,3.0,122.1894142089281,793,AES,0.3693246493280864,2,0,N
21,TCP,Chrome,1.0,299.71154797427783,454,,0.3738745916057353,1,0,N
22,TCP,Firefox,3.0,654.5261426459776,513,AES,0.4970295435549451,1,0,N
23,TCP,Chrome,8.0,317.0788581057768,215,AES,0.461950842242767,2,0,Y
24,TCP,Firefox,5.0,93.17112499822254,391,AES,0.536245189457405,2,0,N
25,TCP,Firefox,4.0,211.59584253834697,522,AES,0.1078985576055601,3,0,Y
26,TCP,Chrome,9.0,92.70169297371484,269,,0.5068194256848887,0,0,Y
27,TCP,Chrome,3.0,3286.221727767748,575,DES,0.4204711850467863,0,0,N
28,UDP,Chrome,2.0,214.98212232301017,379,AES,0.7863154442710675,2,0,Y
29,TCP,Firefox,7.0,604.9615522886485,441,AES,0.3360318477936075,0,0,Y
30,TCP,Chrome,1.0,447.62330730772806,379,DES,0.0993898185618982,0,0,N
31,UDP,Chrome,2.0,674.2716307687525,870,DES,0.2720868405623606,1,0,Y
32,TCP,Chrome,1.0,551.4693389958693,497,,0.0351392525704552,1,1,N
33,ICMP,Chrome,2.0,1039.10118603804,288,AES,0.110269438624984,3,0,Y
34,TCP,Chrome,6.0,1650.942099269792,664,,0.3915442086550267,2,1,N
35,TCP,Chrome,2.0,268.71323796747225,255,AES,0.5173361768348047,1,1,N
36,TCP,Chrome,5.0,162.2873080817919,541,,0.1379758234123113,2,0,N
37,TCP,Firefox,7.0,3325.3086894656926,108,AES,0.0795093219361312,2,0,Y
38,TCP,Firefox,5.0,1608.365096858205,234,DES,0.6459042598252172,4,0,Y
39,TCP,Chrome,4.0,361.9425945829811,539,DES,0.3087899599206534,0,0,N
40,TCP,Chrome,2.0,1801.41325899014,647,,0.2991840394359722,1,0,N
41,TCP,Chrome,4.0,888.2555882449734,534,AES,0.0367521363575246,3,0,Y
42,TCP,Edge,4.0,460.1784563437431,476,DES,0.3974194615917665,2,0,N
43,TCP,Chrome,5.0,1653.5169443242044,439,,0.2453131148697448,2,0,N
44,TCP,Chrome,4.0,899.8403029798167,204,DES,0.3373211395417786,1,0,N
45,TCP,Chrome,2.0,1401.0372662699012,356,DES,0.6729768279913647,1,0,Y
46,TCP,Edge,7.0,432.6976830475844,407,DES,0.081769711383674,3,1,Y
47,TCP,Edge,5.0,1282.4285713839413,711,AES,0.207445483534184,2,0,Y
48,TCP,Unknown,6.0,365.73555486698257,568,AES,0.5343683322456065,2,0,Y
49,TCP,Edge,1.0,1062.659149730583,147,AES,0.2633726317268964,1,0,N
50,TCP,Edge,2.0,457.4952008808089,564,,0.219704731816743,1,1,N
51,TCP,Chrome,5.0,415.6167950841102,422,AES,0.4663241681421678,1,0,N
52,TCP,Firefox,5.0,1274.1942392067006,364,AES,0.8708336888298047,2,0,Y
53,TCP,Firefox,6.0,106.8587436466122,622,,0.3298889701600508,1,1,Y
54,TCP,Edge,4.0,2107.19716665885,706,DES,0.4658562587345757,2,1,N
55,TCP,Firefox,3.0,568.5288982396605,686,DES,0.6136432536281438,1,0,Y
56,TCP,Chrome,2.0,808.6446595055914,332,AES,0.1742454820703902,2,0,N
57,TCP,Chrome,4.0,415.7067630688467,438,DES,0.2172346369333444,1,0,N
58,UDP,Firefox,5.0,830.483464807917,566,DES,0.6028501934467423,1,0,Y
59,UDP,Edge,1.0,989.8897960942786,695,AES,0.259418552130799,2,0,Y
60,TCP,Chrome,9.0,1622.860870864447,404,DES,0.2356755502429507,2,0,Y
61,TCP,Chrome,5.0,1541.3967703070944,462,AES,0.0400191829191788,2,0,N
62,TCP,Edge,8.0,354.30271017360786,278,AES,0.5116026457176248,2,0,Y
63,UDP,Chrome,6.0,765.3837210156122,260,AES,0.5402342873210285,1,0,N
64,TCP,Safari,3.0,1213.40421214117,662,,0.4544121864022344,1,0,N
65,ICMP,Chrome,6.0,1158.071232246108,771,,0.1357785048218817,2,1,N
66,TCP,Chrome,5.0,1772.622948174797,485,,0.4362987418285402,2,0,N
67,TCP,Chrome,6.0,1426.7642254528307,700,DES,0.1997666308396278,4,0,Y
68,TCP,Chrome,10.0,1012.2699508672414,572,DES,0.1644573479924417,1,0,Y
69,TCP,Chrome,1.0,1105.3806022240433,370,AES,0.4086537168997098,2,0,Y
70,TCP,Edge,6.0,1317.8935947961731,572,AES,0.2053917876576297,0,0,N
71,TCP,Unknown,3.0,1455.576779684165,807,AES,0.6271547548524079,0,0,Y
72,TCP,Edge,4.0,347.91805418370086,492,AES,0.2638643281334985,1,0,Y
73,UDP,Chrome,7.0,1217.9139195544108,812,DES,0.651720998102494,2,0,Y
74,TCP,Chrome,6.0,2384.0286686884297,64,,0.5125115429611737,1,0,N
75,TCP,Chrome,3.0,212.17659606312992,664,,0.1055602857207033,0,0,N
76,TCP,Edge,5.0,39.54966375410118,517,DES,0.3360337531065149,1,0,Y
77,UDP,Chrome,5.0,60.12054049063278,440,DES,0.3466523484514337,1,0,N
78,UDP,Chrome,,195.4101798830058,518,AES,0.4472088363848736,0,0,Y
79,TCP,Edge,3.0,2018.4893233966325,102,,0.208078319662466,2,0,N
80,TCP,Firefox,5.0,108.46893562306865,456,DES,0.1097625098489018,2,0,N
81,TCP,Chrome,5.0,1101.401768015545,571,DES,0.4818222137601502,2,1,N
82,TCP,Chrome,6.0,1614.1886098890527,795,AES,0.1796520284230282,2,0,Y
83,TCP,Chrome,6.0,1679.8526967503185,396,,0.6107440107285588,0,0,Y
84,UDP,Edge,2.0,431.3095534963739,338,AES,0.3254855696413191,1,0,N
85,TCP,Chrome,3.0,546.9722169261106,399,,0.5954335496002904,0,0,N
86,TCP,Firefox,5.0,312.3613276488573,683,AES,0.3415719127620866,3,0,Y
87,TCP,Chrome,8.0,127.51964209032084,565,AES,0.1981503877084024,2,1,Y
88,UDP,Chrome,4.0,190.7796533194509,394,AES,0.3840149947090269,1,0,Y
89,TCP,Chrome,4.0,115.82192978072582,602,AES,0.2826995354274423,1,1,Y
90,TCP,Firefox,3.0,418.7535920670476,519,AES,0.5074718561537545,2,1,N
91,TCP,Edge,4.0,149.39682434919536,693,DES,0.7465329921047918,2,0,Y
92,TCP,Chrome,4.0,413.2077481798984,359,AES,0.3961354801328169,3,0,Y
93,UDP,Firefox,7.0,1524.0632797670812,434,DES,0.2653750876483886,0,0,Y
94,TCP,Safari,7.0,850.2462962444683,421,DES,0.7363071667506592,3,0,Y
95,UDP,Firefox,4.0,869.5488497403968,207,AES,0.1801952291959206,3,0,Y
96,TCP,Safari,3.0,1336.4809719223258,559,AES,0.2804595050221319,1,0,N
97,TCP,Firefox,,33.65280380665794,552,AES,0.3119724983066272,0,0,N
98,UDP,Firefox,3.0,1265.8898099183805,501,AES,0.359586097716788,2,0,N
99,TCP,Firefox,5.0,174.87198977443362,453,AES,0.4396989559319573,2,0,N
100,TCP,Edge,6.0,339.6289336863756,216,AES,0.792908723614886,0,0,Y
101,TCP,Chrome,2.0,294.5849672223419,415,AES,0.2046812710873537,3,0,Y
102,TCP,Firefox,2.0,89.33142787527953,431,AES,0.0213026825741628,2,0,N
103,TCP,Firefox,3.0,152.6475054745366,339,DES,0.40868098195241,2,0,N
104,ICMP,Chrome,1.0,2505.1902247693133,467,AES,0.2099886202093015,2,0,N
105,ICMP,Chrome,3.0,733.5772844904812,580,DES,0.2422452498276949,2,0,N
106,TCP,Edge,4.0,513.9203055468032,877,,0.1815156636532834,0,0,Y
107,TCP,Chrome,4.0,1134.3759248662836,534,,0.6356549060949741,2,0,Y
108,TCP,Firefox,5.0,1344.486704150752,551,DES,0.2153356389185488,0,0,N
109,TCP,Chrome,6.0,93.46336107579046,485,DES,0.4063312275073519,2,0,N
110,TCP,Edge,4.0,1080.449674152331,116,AES,0.4623687098674023,0,0,N
111,TCP,Firefox,6.0,2155.276873158772,494,AES,0.4082261331463432,1,0,N
112,TCP,Chrome,6.0,704.422488537655,512,DES,0.2212732586710722,1,1,N
113,TCP,Firefox,2.0,761.8596818225025,992,DES,0.0425389889151891,1,0,N
114,TCP,Edge,3.0,1634.686997948409,461,DES,0.0902244146247547,1,0,Y
115,TCP,Chrome,5.0,910.2548697823172,560,DES,0.293848130472684,2,0,N
116,UDP,Unknown,1.0,4282.643311411911,493,DES,0.4271570441204733,1,0,N
117,TCP,Safari,5.0,265.80179500946144,266,,0.3106996126499128,2,1,Y
118,TCP,Chrome,9.0,1493.9483851057782,728,DES,0.3440707492302625,0,0,Y
119,TCP,Chrome,9.0,758.2441511370571,650,,0.3970540586315398,1,1,Y
120,TCP,Chrome,3.0,364.2314264843896,658,DES,0.4228182535278166,1,0,N
121,TCP,Edge,2.0,1716.8731834652806,318,DES,0.1735475969680256,1,0,N
122,TCP,Chrome,5.0,4468.001253098631,780,,0.5133769785913413,1,0,N
123,ICMP,Firefox,4.0,47.6720891871051,219,DES,0.0839245230551094,3,1,Y
124,TCP,Firefox,5.0,2077.8093270932563,617,AES,0.756641279217048,1,0,Y
125,TCP,Firefox,5.0,181.63190836745449,938,AES,0.3289525285764282,2,0,N
126,TCP,Firefox,,183.7197582739341,301,AES,0.2639313835435253,2,0,N
127,ICMP,Chrome,1.0,34.12234567916193,386,,0.2923132031445906,1,1,N
128,UDP,Chrome,8.0,2042.7649588398008,519,AES,0.2337753258585817,3,0,Y
129,UDP,Chrome,6.0,1139.689059842402,399,AES,0.7173627311559833,1,0,Y
130,TCP,Chrome,1.0,43.94449986840703,189,AES,0.324800802082674,2,0,N
131,ICMP,Chrome,3.0,803.0822652641986,513,AES,0.1453538307828547,0,1,N
132,TCP,Chrome,,102.38892419769635,287,,0.0638388079990007,1,0,Y
133,TCP,Firefox,9.0,1113.5448828433073,594,AES,0.2015363761915499,1,0,Y
134,UDP,Chrome,3.0,420.8242964449342,316,DES,0.1010497118158562,0,0,Y
135,UDP,Unknown,4.0,42.53231749395693,809,AES,0.1840217502247818,1,0,Y
